
title,endpoint
Stormwater Permits Daily,https://data.virginia.gov/api/action/datastore_search?resource_id=0e74f37b-f136-4f78-8364-6011cfd5f30a&limit=0
Child Care Data Matrix- Virginia's Estimated Child Care Capacity & Demand June 2020,https://data.virginia.gov/api/action/datastore_search?resource_id=0eadf9e9-fb7a-4107-a6eb-40c3e69cf445&limit=0
Tide Sensors,https://data.virginia.gov/api/action/datastore_search?resource_id=0eb533e5-6ace-4b8b-a0fa-715e40a252f2&limit=0
Addresses,https://data.virginia.gov/api/action/datastore_search?resource_id=0ef8ecde-2abb-4fc2-9daf-83f224ec780a&limit=0
Hanover Streets,https://data.virginia.gov/api/action/datastore_search?resource_id=0f0a7ded-2398-4075-b9ab-fd0b043b9af0&limit=0
Home Schooled Students & Religious Exemptions 2014-15,https://data.virginia.gov/api/action/datastore_search?resource_id=0f3f1335-2e8f-4eda-83f5-65db3d54535a&limit=0
WaterEasement layer,https://data.virginia.gov/api/action/datastore_search?resource_id=0f91532d-9696-4e9a-919d-be129b03690a&limit=0
Drug AMP Reporting - Quarterly,https://data.virginia.gov/api/action/datastore_search?resource_id=0f9e7ef3-8bb8-499c-8d3f-f3ef2350589a&limit=0
Virginia Job Openings and Labor Turnover — September 2023,https://data.virginia.gov/api/action/datastore_search?resource_id=0fb0de6a-5458-414e-adf2-76c02e7aa8b4&limit=0
2020 State Occupational Injury and Illness Counts,https://data.virginia.gov/api/action/datastore_search?resource_id=0fb956c3-501c-439e-82f5-c46fc4312a73&limit=0
2020 County Business Patterns- NC,https://data.virginia.gov/api/action/datastore_search?resource_id=101ef315-06da-455e-8def-fe9567fab0c7&limit=0
Zoning Cases Post 2000,https://data.virginia.gov/api/action/datastore_search?resource_id=1064c27b-0a23-44db-a5f2-8d1ddb8e05c2&limit=0
Petitions for Re-Enslavement,https://data.virginia.gov/api/action/datastore_search?resource_id=106768c8-4b5c-41a3-b2f9-b63b2cd20e0c&limit=0
VDH PUD HAI LTACH HCP Flu Vaccination,https://data.virginia.gov/api/action/datastore_search?resource_id=1093ed53-b676-4177-bb61-db9de145b18b&limit=0
Railroads,https://data.virginia.gov/api/action/datastore_search?resource_id=10ae83c2-cc81-4841-bdbd-39081f44fdd8&limit=0
Trout Streams / Rivers,https://data.virginia.gov/api/action/datastore_search?resource_id=10beac65-5879-47a4-a663-9a8358ab575f&limit=0
Employee Salaries,https://data.virginia.gov/api/action/datastore_search?resource_id=11030e95-ee27-4dfe-be22-05c121f342b3&limit=0
Medicaid CMS-64 CAA 2023 Increased FMAP Expenditure Data Collected through MBES/CBES,https://data.virginia.gov/api/action/datastore_search?resource_id=1165e555-0898-4e1a-8104-249f50820d62&limit=0
Wetlands layer,https://data.virginia.gov/api/action/datastore_search?resource_id=11851fc2-97f2-408e-8e60-a7bd6e86c472&limit=0
Pass rate statistics for previous bar exams by Year 1999-2025,https://data.virginia.gov/api/action/datastore_search?resource_id=11950a71-3d9f-4c86-8268-cc9f5a3b26ac&limit=0
Major Eligibility Group Information for Medicaid and CHIP Beneficiaries by Month,https://data.virginia.gov/api/action/datastore_search?resource_id=119fdb30-7565-43e4-8919-47e05eeba82d&limit=0
Coroners' Inquisitions,https://data.virginia.gov/api/action/datastore_search?resource_id=11c96570-5d1d-4047-904d-ab2fcc7202b4&limit=0
Short Term Projection 2020-2022 Virginia,https://data.virginia.gov/api/action/datastore_search?resource_id=11fe3493-73cf-49c6-8de3-3852bac32246&limit=0
Polling Places,https://data.virginia.gov/api/action/datastore_search?resource_id=12105065-0121-43d5-86ee-32144812c596&limit=0
devAuto_measure_backgroundAndMethods,https://data.virginia.gov/api/action/datastore_search?resource_id=1215b350-e2be-455e-bea9-b3f461e2889d&limit=0
"Provo- Orem, Utah MSA- Occupational Projections 2012-2022",https://data.virginia.gov/api/action/datastore_search?resource_id=124c68d4-240a-4b16-be03-99b650340412&limit=0
devAuto_measure_allStates,https://data.virginia.gov/api/action/datastore_search?resource_id=125eda18-f86f-4408-b77d-7bb71ca86511&limit=0
Reclassified Species,https://data.virginia.gov/api/action/datastore_search?resource_id=1266af94-3454-4544-b5f3-638cdcf4b846&limit=0
1997 Fall Membership Division Summary Excluding PK and UG,https://data.virginia.gov/api/action/datastore_search?resource_id=12733572-b823-4336-8a95-87bd109d472b&limit=0
Address Points,https://data.virginia.gov/api/action/datastore_search?resource_id=12928bf4-49a5-4ec2-be31-0405370eacfc&limit=0
Food Insecurity,https://data.virginia.gov/api/action/datastore_search?resource_id=12b536d6-a0f8-4326-89f0-bcb4d05af0fa&limit=0
Real Estate Parcel Class,https://data.virginia.gov/api/action/datastore_search?resource_id=12db5575-2bb1-4166-b457-972994a8788f&limit=0
Business Trusts,https://data.virginia.gov/api/action/datastore_search?resource_id=12e41bcc-f4aa-496e-bfd3-bc2329dad3c8&limit=0
Current Land Use,https://data.virginia.gov/api/action/datastore_search?resource_id=1300c05c-00eb-4a0c-8e33-66b1117c21c7&limit=0
2022 - 2024 NTD Annual Data - Track & Roadway (by Mode),https://data.virginia.gov/api/action/datastore_search?resource_id=13536f3d-dd4e-468b-90e5-2878b20ab488&limit=0
Business Licenses - Virginia Beach,https://data.virginia.gov/api/action/datastore_search?resource_id=13ad239a-9b25-486a-8aa5-f18c75ab219a&limit=0
Company Census File,https://data.virginia.gov/api/action/datastore_search?resource_id=13c2ab61-ff5f-4250-b96d-7bca9d375d29&limit=0
"Weekly Parental Intent for Vaccination and Cumulative Percentage of Children 6 Months -17 Years Who are Up to date with the COVID-19 Vaccines by Season, United States",https://data.virginia.gov/api/action/datastore_search?resource_id=14460790-fb8e-450f-b572-675f686bdda6&limit=0
Zoning,https://data.virginia.gov/api/action/datastore_search?resource_id=145c87ee-9686-450d-89aa-d8d638a1af0a&limit=0
Individuals with a Disability who Receive Services from Workforce Programs CY 2018 - PA,https://data.virginia.gov/api/action/datastore_search?resource_id=14acab76-342e-4da9-a53e-43f8749c550e&limit=0
Pre-Challenge Process Served BEAD Eligible Locations,https://data.virginia.gov/api/action/datastore_search?resource_id=14b331dd-a6c2-4e61-951a-484842ae4f6e&limit=0
Insur - All With History,https://data.virginia.gov/api/action/datastore_search?resource_id=14f26b12-b4aa-4442-8d4e-c7ede2220def&limit=0
Colonization Records,https://data.virginia.gov/api/action/datastore_search?resource_id=14fd920d-cd5b-4c7b-a63e-cd920f1a2331&limit=0
VDH PUD Overdose ED Visits by Year and Geography,https://data.virginia.gov/api/action/datastore_search?resource_id=1513876b-3534-4644-9b5e-3f279dd1b8a6&limit=0
Marumsco Soils,https://data.virginia.gov/api/action/datastore_search?resource_id=151be172-e291-444a-8381-9a7412de1367&limit=0
BufferEasement layer,https://data.virginia.gov/api/action/datastore_search?resource_id=155f34fb-d087-413d-986a-9dfafd86e226&limit=0
eVA Procurement Data 2021,https://data.virginia.gov/api/action/datastore_search?resource_id=15a57b71-f8ad-4fc2-adf3-eabec8691210&limit=0
"Percent Positivity of Viral Detections Among Enrolled Children in the New Vaccine Surveillance Network (NVSN), Acute Respiratory Illnesses (ARI), 2017–Present",https://data.virginia.gov/api/action/datastore_search?resource_id=15cbb3e6-035b-44ee-ba4b-58c8afede673&limit=0
LCRI Water Service Line Inventory,https://data.virginia.gov/api/action/datastore_search?resource_id=15d93690-c19e-46c5-b6ef-781b2de380c5&limit=0
2023 Child and Adult Health Care Quality Measures Quality,https://data.virginia.gov/api/action/datastore_search?resource_id=15f7adfb-074c-4830-88d1-247d1406b29e&limit=0
TechnologyZone layer,https://data.virginia.gov/api/action/datastore_search?resource_id=162b541e-6ee2-48c6-90fd-e7b47485b58e&limit=0
Total Compensation and Expenses FY2015-2019 - Vermont,https://data.virginia.gov/api/action/datastore_search?resource_id=1630cf76-5f1e-4161-9063-f9f61eec4dc4&limit=0
Plan ID Crosswalk PUF – PY2026,https://data.virginia.gov/api/action/datastore_search?resource_id=1679cbe9-cf52-4932-8089-25e7008c7c40&limit=0
Performance Metrics for Workforce Development Programs - New York,https://data.virginia.gov/api/action/datastore_search?resource_id=1685a8fe-114d-4c4e-9db6-6d91a3c1d665&limit=0
"Percent Positivity of Respiratory Syncytial Virus Nucleic Acid Amplification Tests by HHS Region, National Respiratory and Enteric Virus Surveillance System",https://data.virginia.gov/api/action/datastore_search?resource_id=168d2083-d1c4-40ca-bd55-36a819c69c02&limit=0
MyNorfolk,https://data.virginia.gov/api/action/datastore_search?resource_id=16b8ea2d-f433-43f6-863e-de6c5cbcecd1&limit=0
prodAuto_tafVersion,https://data.virginia.gov/api/action/datastore_search?resource_id=16dc4275-de5c-43c0-af5d-47e6396367bc&limit=0
Tax Administration's Real Estate - Dwelling Data,https://data.virginia.gov/api/action/datastore_search?resource_id=16fabeea-e003-4e8a-b601-9d80e8a13119&limit=0
SDE VDOT LANDTRACK POLYGON,https://data.virginia.gov/api/action/datastore_search?resource_id=170b0cd8-d70b-4ebc-9f83-2fb7b892bc84&limit=0
Virginia Bar Exam Pass Rates 2019,https://data.virginia.gov/api/action/datastore_search?resource_id=176182be-3822-4d2b-8909-5f4938c1320b&limit=0
CTE Enrollment by Career Cluster State Level - Virginia,https://data.virginia.gov/api/action/datastore_search?resource_id=179919e7-8a37-4115-a95a-1cf522ee02f6&limit=0
"Total COVID-19 Deaths since January 1, 2020 by Age Group, Race/Ethnicity, and Sex",https://data.virginia.gov/api/action/datastore_search?resource_id=17a71922-a658-40a2-915c-0d2cb88521b2&limit=0
T100 - Preliminary Estimates,https://data.virginia.gov/api/action/datastore_search?resource_id=17c30212-082c-498e-8254-c4ca411490a5&limit=0
Maryland's Counties - NAICS: 2010-2020 Historical and 2025-2050 Projected,https://data.virginia.gov/api/action/datastore_search?resource_id=17e65bb0-2ac1-4201-b00a-17a60a6c9914&limit=0
ThoroughfarePlanInterchanges layer,https://data.virginia.gov/api/action/datastore_search?resource_id=180915f4-f865-449e-a0f4-575e9fdd01e6&limit=0
State Comparisons - Employment and Income-NC,https://data.virginia.gov/api/action/datastore_search?resource_id=18159742-9745-4a3c-baaf-eb0576153679&limit=0
Virginia Physiographic Regions,https://data.virginia.gov/api/action/datastore_search?resource_id=18345d18-f92c-4965-a3e4-58276a3a0c79&limit=0
Loudoun Major Power Lines,https://data.virginia.gov/api/action/datastore_search?resource_id=1842a8c9-b0dd-4814-a594-c0a0b2b5d063&limit=0
2023 Statewide Occupational Employment & Wages Report - Kentucky,https://data.virginia.gov/api/action/datastore_search?resource_id=186f94df-fcaa-44f9-8a3f-03f842484072&limit=0
New York City Seasonally Adjusted Employment,https://data.virginia.gov/api/action/datastore_search?resource_id=1883886f-e2b4-408c-b178-79ff9bd5e911&limit=0
"Rates of Laboratory-Confirmed RSV, COVID-19, and Flu Hospitalizations from the RESP-NET Surveillance Systems",https://data.virginia.gov/api/action/datastore_search?resource_id=18888b72-d35b-4078-aa56-4c4f9774da2a&limit=0
EMS Calls for Service,https://data.virginia.gov/api/action/datastore_search?resource_id=18a50e85-3de2-4644-9071-538f88107631&limit=0
DEV DQS NVSS Footnotes,https://data.virginia.gov/api/action/datastore_search?resource_id=1906a635-39fb-46ea-8722-5a7e8a012d5e&limit=0
HPMS Roadway Sample 2023,https://data.virginia.gov/api/action/datastore_search?resource_id=1914ec94-67e3-4c18-98f1-70c05b237e66&limit=0
Product Data for Newly Reported Drugs in the Medicaid Drug Rebate Program 2023-02-13-to-2023-02-19,https://data.virginia.gov/api/action/datastore_search?resource_id=192ab244-baa7-4bae-b4ce-29d4a95a65d0&limit=0
2023 NTD Annual Data - Facility Inventory,https://data.virginia.gov/api/action/datastore_search?resource_id=193c2e1f-d0c7-46c9-bfe0-958f12c50055&limit=0
FY2023 Data Resource Guide,https://data.virginia.gov/api/action/datastore_search?resource_id=19599925-263c-48ed-88c0-c3ce69ee531f&limit=0
Full-time Equivalent (FTE) Totals by Agency (2023-2019) - Virginia,https://data.virginia.gov/api/action/datastore_search?resource_id=1973e7c4-674b-4c41-8fe9-0cdb0c57fbc7&limit=0
Airports,https://data.virginia.gov/api/action/datastore_search?resource_id=19b33ac5-d25b-4846-b4ab-5e7c2b54532b&limit=0
Income - Virginia,https://data.virginia.gov/api/action/datastore_search?resource_id=19f7bede-312c-4f49-82d7-0d788eab2d61&limit=0
2018 County Business Patterns - NC,https://data.virginia.gov/api/action/datastore_search?resource_id=1a36a3f6-ea1d-4db8-9774-826e8498fd59&limit=0
prodAuto_topicArea_measureDisplayGroups,https://data.virginia.gov/api/action/datastore_search?resource_id=1ab671e8-fba7-4b3a-8626-6727c7fa82c0&limit=0
implAuto_briefType,https://data.virginia.gov/api/action/datastore_search?resource_id=1ac8ccd7-1b60-4245-a192-657092a87fb8&limit=0
Bedford County Road Centerlines - Open Data,https://data.virginia.gov/api/action/datastore_search?resource_id=1ac94572-7f95-4dd5-bc43-3ecb61711257&limit=0
RailroadEasement layer,https://data.virginia.gov/api/action/datastore_search?resource_id=1acd01fc-93a5-4022-9f04-94816c837aeb&limit=0
Fire Stations,https://data.virginia.gov/api/action/datastore_search?resource_id=1ae8e4dd-a610-4a21-ad4f-ecb457b1bb13&limit=0
CDC Wastewater Data for RSV,https://data.virginia.gov/api/action/datastore_search?resource_id=1b07057d-e8aa-41ae-baca-63cc3b8b38c4&limit=0
Neighborhood Ultility Permits Polygon,https://data.virginia.gov/api/action/datastore_search?resource_id=1b25d364-3118-4529-96b8-ae323696fe06&limit=0
NNDSS Weekly Data,https://data.virginia.gov/api/action/datastore_search?resource_id=1b320821-1275-4e1c-8d1b-3b807a44ab3d&limit=0
US BEA Personal Income by NAICS Industry- NC,https://data.virginia.gov/api/action/datastore_search?resource_id=1b43a225-dcf5-4efe-bd4f-9be9948c060f&limit=0
Endangered Species Act Petitions Received by the Fish and Wildlife Service,https://data.virginia.gov/api/action/datastore_search?resource_id=1b593562-04c8-4745-8a22-1354d152cc57&limit=0
Virginia State Police Cold Case Data,https://data.virginia.gov/api/action/datastore_search?resource_id=1b5aa115-a3fc-4f74-9a2f-c174c53cb5a2&limit=0
Railroad Master,https://data.virginia.gov/api/action/datastore_search?resource_id=1b67f2d3-2fc3-4b23-97f6-864f5d5b00e9&limit=0
Biosolids Site Address Info Table,https://data.virginia.gov/api/action/datastore_search?resource_id=1b72f441-fd3a-4f5a-b73a-44144968891d&limit=0
HRSD Sewer Service Areas,https://data.virginia.gov/api/action/datastore_search?resource_id=1b7e2d1e-1b88-46cf-898f-3e42eb8b047d&limit=0
Bedford County Survey Monuments - Open Data,https://data.virginia.gov/api/action/datastore_search?resource_id=1bb6de3b-b507-487c-9141-66a723efdce2&limit=0
Contours 2013,https://data.virginia.gov/api/action/datastore_search?resource_id=1bed405c-2839-4eff-9e6b-1f2feebe986c&limit=0
