"Business Name","Doing Business As","Business Address","Business Geo Location"
"VEDISHI LLC","HOST INN MOTEL","6621 MIDLOTHIAN TPKE","POINT (-77.51826 37.5023)"
"KATE UNCORKED LLC","KATE UNCORKED","305 MARSTON LANE","POINT (-77.49442 37.54936)"
"DAVIS DESIGN COMPANY LLC",,"435 ZIONTOWN RD","POINT (-77.55718 37.58177)"
"Y & J TIRES LLC",,"2620 BROAD ROCK BLVD","POINT (-77.48002 37.48138)"
"CRESCENT FOOD & BEVERAGE LLC","CRESCENT SIMPLES","2114 E MAIN ST","POINT (-77.4244 37.53093)"
"JAY ADHYA SHAKTI LLC","CLOVERLEAF HOTEL","5456 MIDLOTHIAN TPKE","POINT (-77.4988 37.50671)"
"SOUTHERN FASTENERS & SUPPLY OF VIRGINIA",,"5066 COMMERCE RD","POINT (-77.42617 37.45527)"
"COMMONWEALTH RENOVATIONS LLC",,"9112 BAILEY OAK DR","POINT (-77.62261 37.39502)"
"MIKE AND RODI CORP","WILLOW LAWN EXXON","4900 W BROAD ST","POINT (-77.49323 37.582)"
"THE PARK EXPRESS CONVENIENCE INC","PARK EXPRESS","1401 E BROOKLAND PARK BLVD","POINT (-77.41694 37.56914)"
"ANOINTED CREATIVE VISION LLC",,"2712 MIDLOTHIAN TPKE","POINT (-77.45892 37.51295)"
"JACEE INC","CLARA'S ASSISTED LIVING","1638 W GRACE ST","POINT (-77.45847 37.55428)"
"ICON REALTY GROUP LLC","ICON REALTY GROUP AND ICON COMMERCIAL","4501 E MAIN ST A","POINT (-77.4148 37.51901)"
"KIMBERLY A PINCHBECK PC",,"6932 FOREST HILL AVE","POINT (-77.52283 37.53816)"
"WORKING HANDS LLC",,"2403 WESTWOOD AVE 201","POINT (-77.48058 37.57491)"
"BOOKKEEPING SOLUTIONS & CONSULTING LLC",,"50 PEAR ST","POINT (-77.4195 37.52748)"
"CITY DOGS FAN LLC",,"1309 W MAIN ST","POINT (-77.45757 37.54626)"
"ADYS AMERICAN ADVENTURE LLC",,"1200 N 34TH ST","POINT (-77.40306 37.53458)"
"FINANCIAL MANAGEMENT SERVICES LLC",,"2924 W CARY ST","POINT (-77.47835 37.55233)"
"AY CARAMBA RVA LLC",,"204 E GRACE ST","POINT (-77.44078 37.54357)"
"CRCKS LLC","GIBSON HAULING","801 BOROUGHBRIDGE RD","POINT (-77.49413 37.5154)"
"SHARON N HORNER & ASSOCIATES PLC","SHARON N HORNER & ASSOCIATES PLC","6804 PATTERSON AVE A","POINT (-77.52952 37.59013)"
"PATTERSON MARTHA B","ANTIQUE BOUTIQUE","1310 E CARY ST","POINT (-77.43343 37.53514)"
"BARNES & NOBLE COLLEGE BOOKSELLERS LLC","BARNES & NOBLE @ VCU #620","1111 W BROAD ST","POINT (-77.45151 37.55134)"
"SCHIFFMAN'S INC","SCHWARZSCHILD","3532 W CARY ST","POINT (-77.48858 37.55639)"
"WHITMAN REQUARDT AND ASSOCIATES LLP",,"9030 STONY POINT PKWY 220","POINT (-77.56855 37.55357)"
"SWEENEY HEATING & AIR CONDITIONI",,"10431 OLD WASHINGTON HWY","POINT (-77.48945 37.69591)"
"GREAT WORK RVA LLC",,"2903 Q ST","POINT (-77.40839 37.53609)"
"CHICANOS INC","CHICANOS COCINA BAR & GRILL","523 E MAIN ST C2","POINT (-77.43922 37.53996)"
"SP PLUS CORPORATION # 5168",,"701 E BYRD ST","POINT (-77.44029 37.53598)"
"BRIGHT FUTURES OF VIRGINIA LLC",,"909 HIOAKS RD B","POINT (-77.52434 37.51345)"
"PAVITHAR INC","TULSI INDIAN CUISINE","3131 W CARY ST","POINT (-77.48152 37.55347)"
"JANICE WILKINS F",,"2821 RICHMOND-HENRICO TPKE","POINT (-77.42763 37.56997)"
"TOLER KATHLEEN",,"2521 KENSINGTON AVE","POINT (-77.46974 37.5573)"
"M & X CONTRACTORS LLC","DANIEL MARTINEZ","1103 N ARTHUR ASHE BLVD B","POINT (-77.46907 37.5646)"
"CAMEO CAKERY AND CAFE LLC","CAMEO CAKERY AND CAFE","306 LIBBIE AVE","POINT (-77.5185 37.57357)"
"SEVEN HILLS NEST LLC",,"813 N 27TH ST","POINT (-77.41247 37.5353)"
"HERMITAGE ROOFING CO INC",,"11106 AIR PARK ROAD","POINT (-77.43696 37.7048)"
"CONNER STEVE","CONNER ELECTRICAL SERVICES INC","8005 GATES BLUFF PLA","POINT (-77.52588 37.37313)"
"C & L TIRE AND AUTO INC",,"2315 N LOMBARDY ST","POINT (-77.44639 37.56437)"
"FIDURA & ASSOCIATES","GRACE HOUSE","2027 W GRACE ST","POINT (-77.46262 37.5567)"
"COMMODITY FOIL & PAPER INC",,"3411 SHAW LANE","POINT (-77.46334 37.48854)"
"SHEEKLEY JACQUELINE","FLORA VA","6006 WAINWRIGHT DR","POINT (-77.50815 37.51695)"
"TASKIDS INC",,"2920 W BROAD ST","POINT (-77.47229 37.56423)"
"PROFESSIONAL MORTGAGE CORP",,"1311 HIGHPOINT AVE","POINT (-77.47311 37.56724)"
"CHESAPEAKE COMMUNICATIONS INC",,"11351 BUSINESS CENTER DR","POINT (-77.60532 37.50061)"
"ROUNDBREAD LLC","BALTIKS BAGELS","6801 FOREST HILL AVE","POINT (-77.52061 37.5375)"
"TERRIS DEPENDABLE CNAS LLC",,"2806 MIDLOTHIAN TPKE","POINT (-77.45981 37.5128)"
"BYGONES VINTAGE CLOTHING INC",,"2916 W CARY ST","POINT (-77.47814 37.55226)"
"DOLLAR TREE STORES INC","DOLLAR TREE #07920","6335 JAHNKE RD","POINT (-77.51334 37.51964)"
"SHOP KALI LLC",,"3111 NORFOLK ST","POINT (-77.46966 37.56906)"
"CHRISTOPHER FLOWERS LLC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"THE CHRISTINA PENDLETON AND ASSOCIATES P",,"125 S 14TH ST 123","POINT (-77.43272 37.53343)"
"CHARGED UP ENTERTAINMENT INTL LLC",,"106 W BROAD ST","POINT (-77.44306 37.5463)"
"CANDLER CONSTRUCTION CO INC",,"14257 INDEPENDENCE RD","POINT (-77.50411 37.79476)"
"COREY KING LLC",,"405 E GRACE ST","POINT (-77.43893 37.54244)"
"W H STOVALL AND CO INC",,"11130 LEADBETTER RD","POINT (-77.44276 37.70704)"
"PIZZERIA HENDERSON LLC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"COLBERT NELSON L","CLOTHES CONNECTION","900 E BROAD ST","POINT (-77.43342 37.54052)"
"KLM INC.","RUBY","3030 W CARY ST","POINT (-77.47999 37.55292)"
"MDT LLC","MCDONALDS","708 HULL ST","POINT (-77.44051 37.52323)"
"RICHARD PAUL HENRY SR",,"1112 CARROLTON ST","POINT (-77.48899 37.54403)"
"A BETTER PATH SUPPORT SERVICE LLC",,"1509 E MAIN ST.","POINT (-77.43009 37.53439)"
"JENNINGS RIVERSIDE PLLC",,"5106 STRATFORD CRESCENT","POINT (-77.51159 37.568)"
"7-ELEVEN INC","7-ELEVEN #11058J","6209 JAHNKE PARKWAY","POINT (-77.51076 37.52029)"
"SP PLUS CORPORATION",,"212 N 18TH ST","POINT (-77.42599 37.53501)"
"TOBACCO COMPANY ASSOCIATES LLC","THE TOBACCO COMPANY","1201 E CARY ST","POINT (-77.43447 37.53578)"
"DULCE ORGANIC CARE LLC","PERCEPTION - ORGANIC SPA","2902 W CARY ST","POINT (-77.47776 37.55213)"
"TWO TANGO INC.",,"2912 W LEIGH ST 100","POINT (-77.46962 37.56615)"
"DOMINION MEDICAL ASSOCIATES INC",,"304 E LEIGH ST","POINT (-77.43633 37.54676)"
"DOUBLE TAKE MEDIA CONGLOMERATE LLC",,"3300 W CLAY ST","POINT (-77.47395 37.56836)"
"JSG GROUP LLC","6335 RESTAURANT","6335 JAHNKE RD A","POINT (-77.51334 37.51964)"
"FOCUSED VIDEO NARRATIVES LLC",,"10051 TWIN VALLEY RD","POINT (-77.58079 37.54637)"
"PREMIER APPRAISAL GROUP INC",,"106 E CARY ST","POINT (-77.44399 37.54147)"
"C AND S CONSULTANTS","BARCODE ETC","4621 W BROAD ST","POINT (-77.48986 37.57857)"
"BOOK SELLERS LLC",,"2113 E MAIN ST","POINT (-77.4244 37.53093)"
"SHAMROCK ENVIRONMENTAL CORP",,"120 MAURY ST","POINT (-77.4324 37.52288)"
"ETHEREAL LLC",,"1607 HIGHPOINT AVE 6","POINT (-77.47053 37.56906)"
"TRIKALLA CORP","SHIELDS MARKET","206 N SHIELDS AVE","POINT (-77.4667 37.55303)"
"RICHMOND FORD LLC",,"4600 W BROAD ST","POINT (-77.48977 37.5789)"
"RESERVOIR DISTILLERY LLC","RESERVOIR","1800 SUMMIT AVE A","POINT (-77.46802 37.56958)"
"LEIGHTON KRISTI",,"2203 MAPLEWOOD AVE","POINT (-77.47128 37.5452)"
"MILLAN DENTAL CARE PC II","MANCHESTER RVA DENTAL","101 COWARDIN AVE 306","POINT (-77.44921 37.51981)"
"GAY NINETIES INC","O'TOOLES","4800 FOREST HILL AVE","POINT (-77.4874 37.52058)"
"DGMC2 INC","JARDIN","1520 W MAIN ST","POINT (-77.46029 37.54751)"
"CH CONSTRUCTION LLC",,"6912 THREE CHOPT RD C","POINT (-77.53183 37.58904)"
"WINDMILL ELECTRIC COMPANY INC",,"5482 MCCLELLAN RD","POINT (-77.23457 37.55605)"
"GPS PETROLEUM LLC",,"5711 GROVE AVE","POINT (-77.51825 37.5728)"
"PRECISION DEMO LLC",,"7061 GATEWAY CT 100","POINT (-77.53698 37.5753)"
"ROOF SYSTEMS OF VA INC",,"501 JEFFERSON DAVIS HWY","POINT (-77.4478 37.51188)"
"TSC MGMT  LLC",,"1600 BELLEVILLE ST","POINT (-77.47475 37.57205)"
"ABES AUTO INC","ABES AUTO SERVICES","2901 CHAMBERLAYNE AVE","POINT (-77.44425 37.56926)"
"FORT LLC","FORT","5714 GROVE AVE","POINT (-77.51787 37.57302)"
"HAVANA 59 ONE LLC","HAVANA 59","16 N 17TH ST","POINT (-77.42823 37.53412)"
"REISINGER GOOCH PLC",,"1108 E MAIN ST 1102","POINT (-77.43414 37.53694)"
"RECYCLED YARN LLC",,"320 HULL ST 112","POINT (-77.43746 37.52518)"
"ROGERS ANNE MOSS",,"5403 DORCHESTER RD","POINT (-77.49492 37.5284)"
"GARCIAS OF FOREST HILL INC","MEXICO RESTAURANT","7001 FOREST HILL AVE B","POINT (-77.52428 37.53712)"
"DZ CARGO LLC",,"2948 BELLS RD","POINT (-77.45207 37.47268)"
"AVAIL OUTPATIENT COUNSELING LLC",,"2025 E MAIN ST 202","POINT (-77.4251 37.53136)"
"MARY LORINO ARCHITECT LLC",,"12 N 30TH ST","POINT (-77.41633 37.52675)"
"AMANECER LATINO INC","AMANECER LATINO MARKET","5301 OLD MIDLOTHIAN TPKE","POINT (-77.49502 37.50669)"
"BAY ELECTRIC CO INC",,"627 36TH ST","POINT (-77.46744 37.50417)"
"MR WIZZARD LLC",,"3510 HASTINGS DR","POINT (-77.58885 37.54384)"
"MB2 SOLUTIONS LLC",,"1631 MONUMENT AVE","POINT (-77.45933 37.55321)"
"LUXOTTICA RETAIL NORTH AMERICA INC","LENSCRAFTERS #5386","9200 STONY POINT PKWY 195A","POINT (-77.57198 37.54986)"
"ARCO IRIS LATINO MARKET INC",,"6445 MIDLOTHIAN TPKE","POINT (-77.51513 37.50314)"
"PRO HOME IMPROVEMENT LLC",,"889 AIRPORT PARK RD B","POINT (-77.45256 37.54788)"
"DOC LEGACY LLC",,"2812 W BROAD ST","POINT (-77.47083 37.5629)"
"LUCKY20 INC","LUCKY 20","250 E LADIES MILE RD","POINT (-77.43041 37.58109)"
"THE PARK RVA LLC",,"1407 CUMMINGS DR","POINT (-77.45489 37.56912)"
"TRENT JOHN W","TRENT'S BARBER SHOP","19 W BROOKLAND PARK BLVD","POINT (-77.43358 37.57155)"
"OM GANESH ONE INC","WIRELESS NATION","1519 W BROAD ST","POINT (-77.45601 37.55403)"
"WHITE MICHAEL RAY","MIKE BLENDZ BARBERSHOP SALON","1608 OWNBY LN","POINT (-77.46009 37.56386)"
"RICHMOND PRIMOID INC",,"2111 N HAMILTON ST A","POINT (-77.47438 37.57599)"
"SEIFU-BEYENE INC","HANES MARKET & DELI","3000 HANES AVE","POINT (-77.43503 37.57176)"
"HOME CONCEPT CORPORATION OF RICHMOND","LOMBARDY MARKET","201 N LOMBARDY ST","POINT (-77.45943 37.55014)"
"PARLOR LLC","PARLOR SALON","115 W BROAD ST","POINT (-77.44332 37.54645)"
"THE K'S 5 LLC","VI'S KITCHEN","2601 MAURY ST 2","POINT (-77.45488 37.51192)"
"SHELTON VIRGINIA LLC",,"919 E MAIN STREET 1000","POINT (-77.43568 37.53785)"
"AS TIME GOES BY ANTIQUES",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"Z A GORAYA LLC","MARKET PLACE #6","3019 NINE MILE RD","POINT (-77.40067 37.54173)"
"SUMMERTIME INC",,"4209 NORTH AVE","POINT (-77.44249 37.58696)"
"REST IN PIECES LLC",,"349 S LAUREL ST","POINT (-77.45165 37.54063)"
"NEW EASTERN CONTRACTING LLC",,"12621 WILIFONG DR","POINT (-77.62578 37.45687)"
"WELLS FARGO BANK NA",,"5803 GROVE AVE","POINT (-77.51882 37.57277)"
"WBB HOMES LLC","KEEL CUSTOM HOMES","2120 STAPLES MILL RD 200","POINT (-77.49257 37.58754)"
"SPATCO ENERGY SOLUTIONS LLC",,"8303 UNIVERSITY EXECUTIVE PARK 400","POINT (-77.55722 37.57707)"
"BROWN MOSGHETTI F","TRI CITY CONCESSIONS","900 E BROAD ST","POINT (-77.43342 37.54052)"
"RUSSELL G DAVIS GENERAL CONTRACTOR INC","RUSSELL G DAVIS GENERAL CONTRACTOR INC","2958 STONE CREEK DR","POINT (-77.45495 37.4476)"
"RICHMOND SPRINKLER CORP",,"7628 WHITEPINE RD","POINT (-77.52353 37.40155)"
"EAGLE FIRE INC",,"7459 WHITE PINE ROAD","POINT (-77.521 37.39643)"
"13 TEN RENOVATIONS LLC",,"10286 STAPLES MILL RD",
"HURRICANE FENCE COMPANY INC",,"5200 HATCHER ST","POINT (-77.40766 37.5123)"
"BREWER SUSAN HOLLERMAN",,"2224 PARK AVE","POINT (-77.46567 37.55585)"
"B & L CONSTRUCTION INC",,"223 RIVERVIEW DRIVE M","POINT (-76.76696 37.90136)"
"TEGEGNEWORK ZELEKE","7-ELEVEN STORE 2515-30480A","3600 W CARY ST","POINT (-77.48919 37.55624)"
"MOBILE ICE CREAM CORP",,"11267 AIR PARK RD C2","POINT (-77.44479 37.70781)"
"HAJOCA CORPORATION",,"3000 COFER RD","POINT (-77.45635 37.49355)"
"F G PRUITT INC",,"2415 GRENOBLE ROAD","POINT (-77.52583 37.61008)"
"CABINETRY & CONSTRUCTION INC",,"1806 CURRIE ST","POINT (-77.45007 37.5595)"
"BANH AND BOWL LLC","SPOON","903 W GRACE ST","POINT (-77.45169 37.55015)"
"HAYNES ENTERPRISES CO","MUTHACLUCKA","900 E BROAD ST","POINT (-77.43342 37.54052)"
"O'REILLY AUTOMOTIVE STORES INC","O'REILLY AUTO PARTS #4632","5228 HULL ST","POINT (-77.48986 37.49225)"
"ADVANCE STORES COMPANY INCORPORATED","ADVANCE AUTO PARTS #9871","6300 MIDLOTHIAN TPKE","POINT (-77.51184 37.50433)"
"N & Z INC","HALIFAX CONVENIENCE","1115 RICHMOND HWY","POINT (-77.44698 37.50488)"
"EXCEPTIONAL ADVOCACY LLC",,"2005 ROSEWOOD AVE","POINT (-77.46855 37.54515)"
"G JILL BUSSEY D.M.D. PC",,"3514 GROVE AVE","POINT (-77.48546 37.55889)"
"DEBOSE & SONS CONSTRUCTION CO",,"2077 E WHITEHILL ROAD","POINT (-77.37038 37.44349)"
"REFLECTED INTERIORS LLC","REFLECTED INTERIORS","206 N MEADOW ST","POINT (-77.46428 37.55206)"
"PARADISE PAUL",,"2 W FELLS ST","POINT (-77.43354 37.55775)"
"TRINITY WIRING SOLUTIONS LLC",,"8610 VIRGINIA MEADOWS DR","POINT (-77.55404 38.77052)"
"HOLMES GARY","HOLMES BARBER SHOP","110 W BROOKLAND PARK BLVD","POINT (-77.43436 37.57159)"
"RUM AND DONE LLC","SLURP! RAMEN","2416 JEFFERSON AVE","POINT (-77.41608 37.53507)"
"LAKESIDE PRIMARY CARE PC",,"4807 HERMITAGE ROAD","POINT (-77.46636 37.59794)"
"ERIN ENTERPRISES VIRGINIA LLC",,"3000 TRANSPORT ST","POINT (-77.45275 37.46974)"
"EL FUEGO BAR AND GRILL LLC",,"1734 BROAD ROCK BLVD","POINT (-77.47188 37.4914)"
"RED BIRD SOCIAL LLC","RED BIRD SOCIAL","100 N 6TH ST","POINT (-77.43808 37.54081)"
"KOJI HOUSE LLC","KOJI HOUSE","10 RANDOLPH ST D","POINT (-77.45817 37.54592)"
"CORNERSTONE YOUTH SERVICE INC",,"1420 HULL ST B3","POINT (-77.44674 37.51927)"
"STAR ANGELS READINGS LLC",,"1717 E FRANKLIN ST","POINT (-77.42705 37.53392)"
"ISLAND SHRIMP CO ROCKETTS LLC","ISLAND SHRIMP CO","11 ORLEANS ST","POINT (-77.41576 37.51771)"
"HENDRIX W CLIFFORD IV",,"2201 GROVE AVE","POINT (-77.46735 37.55243)"
"BOODRAM RANDY","LA BETE","900 E BROAD ST 103","POINT (-77.43342 37.54052)"
"WB ELITE CONSTRUCTION LLC",,"7702 NORTHBOURNE CT A","POINT (-77.52116 37.62213)"
"BLESSING J&E LLC","OCEAN WORLD SEAFOOD MARKET","4814 GOVERNMENT RD","POINT (-77.39524 37.51691)"
"NVR INC","RYAN HOMES","7501 BOULDER VIEW DR 450","POINT (-77.53451 37.51326)"
"GREEN ENERGY CONCEPTS INC",,"8151 MECHANICSVILLE TPKE",
"PRESSURE WORKS INC",,"1704 ROSENEATH RD","POINT (-77.47174 37.57164)"
"4027 W BROAD LLC",,"4027 W BROAD ST","POINT (-77.48332 37.57305)"
"THE EXCEL MANAGEMENT TEAM LLC",,"17 W BROAD ST","POINT (-77.44294 37.54551)"
"VANESSA WOMACK CONSULTING LLC",,"2123 CEDARHURST DR","POINT (-77.51473 37.53021)"
"TITO'S TAQUETIA & BAR LLC",,"733 W CARY ST","POINT (-77.45143 37.5445)"
"AMERICAN CONTRACTING & ENVIRONMENTAL SER",,"11075 STRATFIELD CT",
"BALLARD SHERRY",,"1011 E MAIN ST","POINT (-77.43491 37.53739)"
"TIGERS EYE HAIR CO LLC","TIGERS EYE HAIR STUDIO","316 N 2ND ST","POINT (-77.43955 37.5452)"
"HANDCRAFT CLEANERS & LAUNDERERS",,"2828 COFER RD","POINT (-77.45343 37.49332)"
"RICHMOND MART VA INC","ONE STOP FOOD MART","3701 MEADOWBRIDGE RD","POINT (-77.42317 37.58202)"
"CONEJO WESTHAMPTON LLC",,"5820 PATTERSON AVE 103","POINT (-77.51537 37.58052)"
"LEAVITT JOHN","DEEP GROOVE RECORDS","317 N ROBINSON ST","POINT (-77.47099 37.55594)"
"FINANCIAL FREEDOM LEGAL PLC",,"4801 HERMITAGE RD","POINT (-77.46637 37.59794)"
"VIRGINIA CVS PHARMACY LLC","CVS/PHARMACY #1989","5001 FOREST HILL AVE","POINT (-77.489 37.52156)"
"PARKS CHEVROLET RVA LLC",,"4502 W BROAD ST","POINT (-77.48754 37.57751)"
"SUTERS CABINET SHOP INC","SUTERS HANDCRAFTED FURNITURE","4200 W BROAD ST","POINT (-77.48452 37.57464)"
"HUMAN CAPITAL EMPLOYEE SOLUTIONS LLC",,"1614 MATTHEWS ST","POINT (-77.42664 37.55668)"
"FORTITUDE COMMERCIAL CONTRACTING INC",,"2795 HUGUENOT TRL","POINT (-77.84114 37.60415)"
"CLEAN SLATE AUTO REPAIR LLC",,"2100 DECATUR ST","POINT (-77.45043 37.5155)"
"CECO STUDIO INC",,"3451 W CARY ST","POINT (-77.48599 37.55506)"
"TCP REAL ESTATE LLC",,"23 S 13TH ST 301","POINT (-77.43359 37.53555)"
"INDIAS GARDENS LLC",,"3109 BUTE LN","POINT (-77.4872 37.5414)"
"AJR MORTGAGE CO INC",,"9 S SHEPPARD ST","POINT (-77.47847 37.55312)"
"ADAPTIVE MENTAL HEALTH LLC",,"3106 FENDALL AVE","POINT (-77.43605 37.57354)"
"KAP INC","PARTY PERFECT","3210 W MARSHALL ST","POINT (-77.47444 37.56726)"
"ALMAS RVA LLC","ALMAS RVA","224 W BROOKLAND PARK BLVD","POINT (-77.43609 37.57168)"
"MENDENHALL VINCENT","QUALITY YARD CARE & LANDSCAPING","1319 SPRUANCE ROAD","POINT (-77.50573 37.52116)"
"CUSTOM ORNAMENTAL IRON INC","CUSTOM ORNAMENTAL IRON INC","10412 KNOTTY PINE LN","POINT (-77.46683 37.70336)"
"CONQUEST MONCURE & DUNN INC",,"208 E CARY ST","POINT (-77.44306 37.54094)"
"JASON D BAKER CONST CO LLC",,"2681 OLD MEMORIAL DR","POINT (-77.26777 37.50544)"
"THE THIEL AND THIEL INC",,"6224 COLLEY BLVD A",
"TRANE U S INC","VIRGINIA TRANE","10408 LAKERIDGE PKWY 100","POINT (-77.65111 37.6579)"
