"Agency/Department","Contract Number","Contract Value","Supplier","Procurement Type","Description","Type of Solicitation","Effective From","Effective To"
"Procurement Services","17000007552","$0.00","GOVDEALS INC - INACTIVE","Cooperative Agreement","Surplus Auction Services/ 4 years with 1-1 year extension option -NJPA Contract 041316-GDI","Non Professional Services, Non Technology","2016 Nov 08 12:00:00 AM","2021 Jun 22 12:00:00 AM"
"Planning & Development Review","18000025602","$285,000.00","NOEL OAKS ENTERPRISES LLC","Invitation to Bid","Lot Abatement Services / Requisition #200004080 / Term 1 of 5","Non Professional Services, Non Technology","2020 Jun 29 12:00:00 AM","2021 Jun 28 12:00:00 AM"
"Police Department","19000022568","$1,000,000.00","Galls LLC","Cooperative Agreement","Uniforms and Protective Equipment/ Extension","Supplies, Non Technology","2019 Jul 01 12:00:00 AM","2021 Jun 30 12:00:00 AM"
"Human Resources","16000013810","$0.00","AMERICAN FAMILY LIFE ASSURANCE COMPANY","Cooperative Agreement","Supplemental insurance benefits","Non Professional Services, Non Technology","2018 Jan 16 12:00:00 AM","2021 Jun 30 12:00:00 AM"
"Public Works","19000015942","$1,507,669.38","SRC, Inc.","Invitation to Bid","IFB #190002770 / Construction/ Department of Public Works / City of Richmond Parking Garage Elevator Repairs/ Initial Term 1 year - Construction Contract","Construction - Capital/Non-Capital","2019 Mar 13 12:00:00 AM","2021 Jun 30 12:00:00 AM"
"Justice Services","21000000080","$30,000.00","OTL Community Services","Agency Request","Outpatient Psychiatry & Telepsychiatry","Professional Services","2020 Jul 01 12:00:00 AM","2021 Jun 30 12:00:00 AM"
"Public Works","14000017838","$945,000.00","Clancy Systems International Inc. - INACTIVE","Request for Proposal","Requisition #210007243; Emergency Extension No. 2; February 18, 2021 - July 1, 2021; Parking Citation Issuance and Processing Software/Term 5 of 5/13083-1","Non Professional Services, Technology","2014 Mar 10 12:00:00 AM","2021 Jul 01 12:00:00 AM"
"Public Works","19000001128","$1,000,000.00","BAY DIESEL CORP","Cooperative Agreement","Generator Maintenance and Repairs for the Richmond Facilities/REq# 180014450/Terms 2 of 4 terms","Non Professional Services, Non Technology","2018 Jan 31 12:00:00 AM","2021 Jul 07 12:00:00 AM"
"Public Works","21000000127","$199,350.00","ADDO ENTERPRISE INC","Invitation to Bid","IFB/DPW/FY 20 Citywide Sidewalk Improvement Pkg. #3/120 consecutive calendar days/Req. 200008974.","Construction - Term","2020 Jul 13 12:00:00 AM","2021 Jul 13 12:00:00 AM"
"Parks, Recreation and Community Facilities","21000005279","$186,380.00","Jeffrey Stack, Inc.","Invitation to Bid","Pump House Park Trail/IFB 200012159","Construction - Capital/Non-Capital","2021 Jan 11 12:00:00 AM","2021 Jul 14 12:00:00 AM"
"Public Utilities","18000000961","$1,100,000.00","Suffolk Solutions Inc - INACTIVE","Invitation to Bid","Sodium Hydroxide/Term 1 of 3/170023881 / New contract is 21000001043","Commodity","2020 Jul 24 12:00:00 AM","2021 Jul 23 12:00:00 AM"
"Public Utilities","21000001043","$536,596.35","BRENNTAG SOUTHEAST INC - INACTIVE","Cooperative Agreement","Sodium Hydroxide /Name change from Suffolk Solutions Inc. to Brenntage Global Marketing LLC/Term 1 of 1","Supplies, Non Technology","2020 Jul 24 12:00:00 AM","2021 Jul 23 12:00:00 AM"
"Emergency Communication","19000017159","$464,724.74","INTERGRAPH CORPORATION","Agency Request","CAD System Upgrade-SQL Server Licensing/6 year contract/Requisition 180028767","Non Professional Services, Technology","2019 Mar 28 12:00:00 AM","2021 Jul 27 12:00:00 AM"
"Public Works","20000011919","$213,442.50","SIMONS CONTRACTING CO","Invitation to Bid","Construction of Roadways & Systems / Construction 120 Days","Construction - Capital/Non-Capital","2020 Jul 16 12:00:00 AM","2021 Jul 30 12:00:00 AM"
"Public Works","21000002758","$1,153,909.40","B & B SIGNAL CO LLC","Invitation to Bid","IFB #200010246 / Construction / Department of Public Works / Pedestrian Improvements at Un Signalized Intersections / No additional terms.","Construction - Capital/Non-Capital","2020 Jul 30 12:00:00 AM","2021 Jul 30 12:00:00 AM"
"Public Utilities","16000012397","$1,400,000.00","CONSOLIDATED PIPE & SUPPLY","Invitation to Bid","Modification #5; additional line item added, Goochland Gate Station Manifold ($53,476.00); Steel Fittings/Term 3 of 5/160010711","Supplies, Non Technology","2016 Feb 01 12:00:00 AM","2021 Jul 31 12:00:00 AM"
"Emergency Communication","14000000301","$2,123,889.52","INTERGRAPH CORPORATION","Agency Request","COMPUTER-AIDED DISPATCH (CAD) SYSTEM UPGRADE/ Term 7 of 10","Non Professional Services, Technology","2020 Aug 01 12:00:00 AM","2021 Jul 31 12:00:00 AM"
"Public Works","19000016313","$109,880.00","DEWBERRY ENGINEERS INC","Request for Proposal","7/22/21 Per Buyer leave open for construction completion. Juvenile Detention Facility Security System Design/Term 1 of 1/","Construction - Term","2019 Apr 01 12:00:00 AM","2021 Jul 31 12:00:00 AM"
"Public Utilities","20000001516","$7,195,950.00","Mastec North America Inc","Invitation to Bid","IFB #190015935 / Requisition # 190015935 / Initial Term 1 year with 4 one-year renewal options/190015935; Renewal #1 (8/1/2020 - 7/31/2021)","Construction - Term","2019 Aug 01 12:00:00 AM","2021 Jul 31 12:00:00 AM"
"City Wide","20000004808","$380,000.00","Guernsey Inc","Cooperative Agreement","Office Supplies/ Citywide/ Fairfax County Co-op Contract 4400006373","Supplies, Non Technology","2019 Sep 25 12:00:00 AM","2021 Jul 31 12:00:00 AM"
"City Wide","20000006411","$4,000,000.00","ROBERT HALF INTERNATIONAL","Cooperative Agreement","7/21/21 Per DPS Director this agreement can no longer be utilized. Co-op/City Wide/ Temporary Employee Services; Term ending July 31, 2021","Non Professional Services, Non Technology","2019 Oct 28 12:00:00 AM","2021 Jul 31 12:00:00 AM"
"Fire and Emergency Services","21000011613","$21,657.60","WITMER PUBLIC SAFETY GROUP INC","Cooperative Agreement","Requisition 210013048/QUOTE ID 577434 - NXTBUNDLE - BULLARD NXT THERMAL IMAGER W/BLACK LOWER I RED UPPER HOSING WITH XTTRUCKMOUNT","Supplies, Non Technology","2021 Apr 26 12:00:00 AM","2021 Jul 31 12:00:00 AM"
"Animal Care and Control","19000001283","$200,000.00","DR ALICE ULRICHS - INACTIVE","Request for Proposal","On-Site Vet Services/Term 2 0f 5/Requisition #180011604","Non Professional Services, Non Technology","2018 Aug 06 12:00:00 AM","2021 Aug 05 12:00:00 AM"
"Planning & Development Review","21000007983","$33,243.75","Granicus LLC","Cooperative Agreement","Cooperative Contract, NCPA / Requisition #210008234 / Two (2) One (1) year additional renewals, in accordance to NCPA RFP #39-20 .","Non Professional Services, Technology","2018 Aug 06 12:00:00 AM","2021 Aug 05 12:00:00 AM"
"Public Utilities","16000014527","$5,000,000.00","CONSOLIDATED PIPE & SUPPLY","Invitation to Bid","Steel Pipe/ Term 5 of 5/160010707","Supplies, Non Technology","2016 Feb 19 12:00:00 AM","2021 Aug 18 12:00:00 AM"
"Public Utilities","20000004161","$1,690,582.47","RMT Construction And Development Group, LLC.","Invitation to Bid","IFB/Construction/DPU/730 Building Interior Renovations","Construction - Term","2019 Nov 05 12:00:00 AM","2021 Aug 31 12:00:00 AM"
,"18000020366","$127,878.31","SOUTHWORTH MECHANICAL CORP - INACTIVE",,"Exp. 12/31/18 changed to 8/31/21 to close IFB/Construction/DPW/Richmond Police Headquarters Boiler Project/Term 1 of 1/180016345",,"2018 Apr 03 12:00:00 AM","2021 Aug 31 12:00:00 AM"
"Public Works","21000005669","$2,147,771.00","VIRTEXCO CORPORATION","Invitation to Bid","IFB #200012442 - CIP Project / Requisition #200012442 / No additional terms","Construction - Capital/Non-Capital","2020 Oct 09 12:00:00 AM","2021 Aug 31 12:00:00 AM"
"Animal Care and Control","19000001289","$300,000.00","VETERINARY EMERGENCY CTR INC","Request for Proposal","RFP/Service/RACC/Emergency Vet Services/Term 2 of 6/180011601","Non Professional Services, Non Technology","2018 Sep 04 12:00:00 AM","2021 Sep 03 12:00:00 AM"
"Public Works","20000003698","$240,000.00","Haley South Inc - INACTIVE","Invitation to Bid","Ford Parts and Services- Fleet/Initial Term 2 years with 3- 1 year renewal options/ Term 1 of 4 #190016857","Non Professional Services, Non Technology","2019 Sep 11 12:00:00 AM","2021 Sep 10 12:00:00 AM"
"City Wide","22000002733","$5,000.00","Validation Test - DELETE - INACTIVE","Small Purchase",,,"2021 Sep 05 12:00:00 AM","2021 Sep 20 12:00:00 AM"
,"22000002736","$1,000.00","Validation Test - DELETE - INACTIVE",,,,"2021 Sep 06 12:00:00 AM","2021 Sep 20 12:00:00 AM"
"Public Utilities","21000005590","$1,264,785.96","Finish Line Construction Inc - INACTIVE","Invitation to Bid","IFB Rattlesnake Creek Stream Restoration/Req. 190013465/180 consecutive calendar days","Construction - Capital/Non-Capital","2020 Nov 08 12:00:00 AM","2021 Sep 21 12:00:00 AM"
"City Council","16000006136","$382,725.50","VPM Media Corp","Agency Request","Public Broadcasting for City Council/Term 5 of 5","Non Professional Services, Non Technology","2015 Oct 06 12:00:00 AM","2021 Sep 27 12:00:00 AM"
"Finance","15000008433","$1,600,000.00","WELLS FARGO BANK","Request for Proposal","/COMMERCIAL BANKING SERVICES/ 3 OF 3/F13169-1","Non Professional Services, Non Technology","2014 Oct 22 12:00:00 AM","2021 Sep 29 12:00:00 AM"
"Public Works","18000003177","$14,609,153.04","Allied Universal Security Services","Request for Proposal","Requisition #210007410; Emergency Extension No. 2 (July 1, 2021 - September 30, 2021); Security Services","Non Professional Services, Non Technology","2014 Jul 31 12:00:00 AM","2021 Sep 30 12:00:00 AM"
"Public Utilities","15000020523","$3,873,572.00","E-MERGE SYSTEMS LLC","Request for Proposal","SCADA Upgrade Project WTP/Term-4.29.2015 to completion","Non Professional Services, Non Technology","2015 Apr 29 12:00:00 AM","2021 Sep 30 12:00:00 AM"
"Public Utilities","17000005043","$41,400,000.00","ConocoPhillips Comapny - INACTIVE","Request for Proposal","Natural Gas Supply/Term 1 of 4/140001169","Commodity","2016 Sep 23 12:00:00 AM","2021 Sep 30 12:00:00 AM"
"Parks, Recreation and Community Facilities","21000014123","$18,500.00","Gibson Fireworks","Small Purchase","Small Purchase / Commodity / Parks, Recreation and Community Facilities / Fire Works Display / No additional terms or conditions.","Commodity","2021 Jun 29 12:00:00 AM","2021 Oct 01 12:00:00 AM"
"Public Utilities","16000013450","$7,000,000.00","ALLAN MYERS VA INC","Invitation to Bid","IFB/Commodity/COR/Asphalt/Term 5 of 5/Primary for Asphalt Delivered/160010108 / Currently in 270 of 365 day extension","Commodity","2016 Jan 20 12:00:00 AM","2021 Oct 18 12:00:00 AM"
"Public Works","18000002041","$1.00","RUMMEL KLEPPER AND KAHL LLP","Request for Proposal","10-2-21 Amount reduced from 10,000,000 to 1.00 to close agreement . Annual Civil Engineering and Landscape Architecture Services/Term 3of 5/AE16-3","Professional Services","2017 Oct 24 12:00:00 AM","2021 Oct 23 12:00:00 AM"
"Public Utilities","17000006212","$10,000,000.00","GREELEY AND HANSEN LLC","Request for Proposal","RFP / Professional Services / Department of Public Utilities / Water,Wastewater, and Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals.","Professional Services","2016 Oct 25 12:00:00 AM","2021 Oct 24 12:00:00 AM"
"Public Utilities","17000006698","$5,000,000.00","GFT Infrastructure","Request for Proposal","Water,Wastewater, and Stormwater Utility Engineering Services, Term 3 of 5/H160005482 -Water Only","Professional Services","2016 Oct 25 12:00:00 AM","2021 Oct 24 12:00:00 AM"
